ST_NM,year,rain_mean_mm
Dadra and Nagar Haveli and Daman and Diu,1995,1674.9893867969513
Dadra and Nagar Haveli and Daman and Diu,1996,2036.4948176443577
Dadra and Nagar Haveli and Daman and Diu,1997,1950.3890112787485
Dadra and Nagar Haveli and Daman and Diu,1998,2123.5375656932592
Dadra and Nagar Haveli and Daman and Diu,1999,2015.6572321653366
Dadra and Nagar Haveli and Daman and Diu,2000,1616.953911587596
Dadra and Nagar Haveli and Daman and Diu,2001,1807.5571654886007
Dadra and Nagar Haveli and Daman and Diu,2002,1822.3746305704117
Dadra and Nagar Haveli and Daman and Diu,2003,2427.5434150397778
Dadra and Nagar Haveli and Daman and Diu,2004,2992.473607212305
Dadra and Nagar Haveli and Daman and Diu,2005,3419.105593726039
Dadra and Nagar Haveli and Daman and Diu,2006,2993.9101950973272
Dadra and Nagar Haveli and Daman and Diu,2007,2529.607169881463
Dadra and Nagar Haveli and Daman and Diu,2008,2617.0743007212877
Dadra and Nagar Haveli and Daman and Diu,2009,1775.5419346541166
Dadra and Nagar Haveli and Daman and Diu,2010,2595.6598357856274
Dadra and Nagar Haveli and Daman and Diu,2011,1871.4332130253315
Dadra and Nagar Haveli and Daman and Diu,2012,1730.3679517954588
Dadra and Nagar Haveli and Daman and Diu,2013,3102.1597525030375
Dadra and Nagar Haveli and Daman and Diu,2014,2401.574569389224
Dadra and Nagar Haveli and Daman and Diu,2015,1667.4780125170946
Dadra and Nagar Haveli and Daman and Diu,2016,2909.0412511229515
Dadra and Nagar Haveli and Daman and Diu,2017,3258.084236368537
Dadra and Nagar Haveli and Daman and Diu,2018,2146.265564098954
Dadra and Nagar Haveli and Daman and Diu,2019,3697.7577421963215
Dadra and Nagar Haveli and Daman and Diu,2020,2419.486537516117
Dadra and Nagar Haveli and Daman and Diu,2021,2945.4517795443535
Dadra and Nagar Haveli and Daman and Diu,2022,3564.670524120331
Dadra and Nagar Haveli and Daman and Diu,2023,2690.209421703592
Dadra and Nagar Haveli and Daman and Diu,2024,3267.116455078125
Delhi,1966,815.467075869441
Delhi,1967,1120.2724649359782
Delhi,1968,548.0115519265333
Delhi,1969,670.3614013145367
Delhi,1970,680.2327584475279
Delhi,1971,612.5635479440292
Delhi,1972,657.9882839818796
Delhi,1973,548.1177177925905
Delhi,1974,527.5582721307874
Delhi,1975,1203.322024020056
Delhi,1976,716.5163757577538
Delhi,1977,858.5951741933823
Delhi,1978,1025.9536245390773
Delhi,1979,410.97426569710177
Delhi,1980,483.28466394295293
Delhi,1981,484.7356161425511
Delhi,1982,655.8893048465252
Delhi,1983,946.8752154683074
Delhi,1984,624.6826722423235
Delhi,1985,542.6745782867074
Delhi,1986,370.9861727282405
Delhi,1987,346.49305354307097
Delhi,1988,909.1228922928373
Delhi,1989,353.39858836929005
Delhi,1990,830.4649115776023
Delhi,1991,692.0201766441265
Delhi,1992,541.3678913911184
Delhi,1993,820.1738000611464
Delhi,1994,817.3943551580111
Delhi,1995,971.5948156664768
Delhi,1996,898.2217615793148
Delhi,1997,578.6408808752894
Delhi,1998,654.628819723924
Delhi,1999,424.854418973128
Delhi,2000,596.8417797982693
Delhi,2001,615.6135930269957
Delhi,2002,562.1183873315653
Delhi,2003,1045.645325196286
Delhi,2004,600.8218769207597
Delhi,2005,507.99032998333377
Delhi,2006,376.62694206337136
Delhi,2007,313.22163061549264
Delhi,2008,327.71241954465705
Delhi,2009,316.3429065520565
Delhi,2010,716.0741892779866
Delhi,2011,588.3228427693248
Delhi,2012,448.25281589478254
Delhi,2013,628.1932839180032
Delhi,2014,380.45212122797966
Delhi,2015,627.0518859252334
Delhi,2016,461.7804893826445
Delhi,2017,450.9928068295121
Delhi,2018,515.1004059910774
Delhi,2019,455.40442400922376
Delhi,2020,553.9958394964536
Delhi,2021,901.0883964921037
Delhi,2022,640.3022542794546
Delhi,2023,728.6619813671956
Delhi,2024,663.4473876953125
Goa,1966,3124.3192544475196
Goa,1967,2523.3749812588094
Goa,1968,3037.4013382524254
Goa,1969,3273.597802551091
Goa,1970,4081.3997297391297
Goa,1971,1973.535961869359
Goa,1972,2242.9906783208253
Goa,1973,3116.666606889665
Goa,1974,3591.865575002134
Goa,1975,3801.316792204976
Goa,1976,2311.725324784219
Goa,1977,2810.661366389692
Goa,1978,3825.365307100117
Goa,1979,3272.926945076883
Goa,1980,4343.623743930459
Goa,1981,4711.062384742499
Goa,1982,4995.529336509108
Goa,1983,4655.360021841526
Goa,1984,3999.6071014299987
Goa,1985,3798.477816590667
Goa,1986,3091.482294668257
Goa,1987,3202.3924088746307
